window_start,Site,nutrient,concentration
1990-07-10,BQ3,Ca,5.423333333333333
1990-07-10,BQ3,Mg,3.4144444444444444
1990-09-11,BQ3,NH4-N,NA
1990-09-11,BQ3,NO3-N,114.55555555555556
1990-09-11,BQ3,K,0.9577777777777777
1990-09-11,BQ3,Ca,5.295555555555556
1990-09-11,BQ3,Mg,3.2544444444444447
1990-11-13,BQ3,NH4-N,NA
1990-11-13,BQ3,NO3-N,197.5
1990-11-13,BQ3,K,0.9927272727272728
1990-11-13,BQ3,Ca,4.458181818181818
1990-11-13,BQ3,Mg,2.8363636363636364
1991-01-15,BQ3,NH4-N,NA
1991-01-15,BQ3,NO3-N,154.28571428571428
1991-01-15,BQ3,K,0.7888888888888889
1991-01-15,BQ3,Ca,4.995555555555556
1991-01-15,BQ3,Mg,3.8155555555555556
1991-03-19,BQ3,NH4-N,NA
1991-03-19,BQ3,NO3-N,82.125
1991-03-19,BQ3,K,0.8233333333333334
1991-03-19,BQ3,Ca,4.322222222222222
1991-03-19,BQ3,Mg,3.187777777777778
1991-05-21,BQ3,NH4-N,NA
1991-05-21,BQ3,NO3-N,87.25
1991-05-21,BQ3,K,0.929
1991-05-21,BQ3,Ca,4.38
1991-05-21,BQ3,Mg,3.391
1991-07-23,BQ3,NH4-N,NA
1991-07-23,BQ3,NO3-N,107.1
1991-07-23,BQ3,K,0.98
1991-07-23,BQ3,Ca,4.54
1991-07-23,BQ3,Mg,3.269
1991-09-24,BQ3,NH4-N,NA
1991-09-24,BQ3,NO3-N,147.91666666666666
1991-09-24,BQ3,K,0.8916666666666667
1991-09-24,BQ3,Ca,4.235833333333333
1991-09-24,BQ3,Mg,3.0091666666666668
1991-11-26,BQ3,NH4-N,NA
1991-11-26,BQ3,NO3-N,216.77777777777777
1991-11-26,BQ3,K,0.9144444444444445
1991-11-26,BQ3,Ca,4.552222222222222
1991-11-26,BQ3,Mg,3.0955555555555554
1992-01-28,BQ3,NH4-N,NA
1992-01-28,BQ3,NO3-N,167.11111111111111
1992-01-28,BQ3,K,1.159
1992-01-28,BQ3,Ca,5.371
1992-01-28,BQ3,Mg,3.3930000000000002
1992-03-31,BQ3,NH4-N,NA
1992-03-31,BQ3,NO3-N,80
1992-03-31,BQ3,K,0.9644444444444444
1992-03-31,BQ3,Ca,5.408888888888889
1992-03-31,BQ3,Mg,3.088888888888889
1992-06-02,BQ3,NH4-N,NA
1992-06-02,BQ3,NO3-N,74.11111111111111
1992-06-02,BQ3,K,0.9077777777777778
1992-06-02,BQ3,Ca,4.177777777777778
1992-06-02,BQ3,Mg,2.8355555555555556
1992-08-04,BQ3,NH4-N,NA
1992-08-04,BQ3,NO3-N,49.66666666666667
1992-08-04,BQ3,K,1.1233333333333333
1992-08-04,BQ3,Ca,4.372222222222223
1992-08-04,BQ3,Mg,2.918888888888889
1992-10-06,BQ3,NH4-N,NA
1992-10-06,BQ3,NO3-N,51.111111111111114
1992-10-06,BQ3,K,0.9655555555555556
1992-10-06,BQ3,Ca,4.5488888888888885
1992-10-06,BQ3,Mg,3.2311111111111113
1992-12-08,BQ3,NH4-N,NA
1992-12-08,BQ3,NO3-N,22
1992-12-08,BQ3,K,0.9722222222222222
1992-12-08,BQ3,Ca,4.488888888888889
1992-12-08,BQ3,Mg,3.358888888888889
1993-02-09,BQ3,NH4-N,NA
1993-02-09,BQ3,NO3-N,129.5
1993-02-09,BQ3,K,0.8233333333333334
1993-02-09,BQ3,Ca,4.522222222222222
1993-02-09,BQ3,Mg,3.256666666666667
1993-04-13,BQ3,NH4-N,NA
1993-04-13,BQ3,NO3-N,119.75
1993-04-13,BQ3,K,0.8624999999999999
1993-04-13,BQ3,Ca,3.9675
1993-04-13,BQ3,Mg,3.265
1993-06-15,BQ3,NH4-N,NA
1993-06-15,BQ3,NO3-N,65.4
1993-06-15,BQ3,K,0.8088888888888889
1993-06-15,BQ3,Ca,4.6066666666666665
1993-06-15,BQ3,Mg,2.891111111111111
1993-08-17,BQ3,NH4-N,NA
1993-08-17,BQ3,NO3-N,94.75
1993-08-17,BQ3,K,0.8633333333333334
1993-08-17,BQ3,Ca,4.736666666666666
1993-08-17,BQ3,Mg,3.39625
1993-10-19,BQ3,NH4-N,NA
1993-10-19,BQ3,NO3-N,22.25
1993-10-19,BQ3,K,0.8366666666666667
1993-10-19,BQ3,Ca,4.5344444444444445
1993-10-19,BQ3,Mg,3.013333333333333
1993-12-21,BQ3,NH4-N,NA
1993-12-21,BQ3,NO3-N,16
1993-12-21,BQ3,K,0.8077777777777778
1993-12-21,BQ3,Ca,4.054444444444444
1993-12-21,BQ3,Mg,2.6155555555555554
1994-02-22,BQ3,NH4-N,NA
1994-02-22,BQ3,NO3-N,55.66666666666667
1994-02-22,BQ3,K,0.9011111111111111
1994-02-22,BQ3,Ca,4.912222222222222
1994-02-22,BQ3,Mg,3.312222222222222
1994-04-26,BQ3,NH4-N,NA
1994-04-26,BQ3,NO3-N,17.11111111111111
1994-04-26,BQ3,K,0.8555555555555555
1994-04-26,BQ3,Ca,5.291111111111111
1994-04-26,BQ3,Mg,3.5833333333333335
1994-06-28,BQ3,NH4-N,NA
1994-06-28,BQ3,NO3-N,97.75
1994-06-28,BQ3,K,0.888
1994-06-28,BQ3,Ca,5
1994-06-28,BQ3,Mg,3.54
1994-08-30,BQ3,NH4-N,NA
1994-08-30,BQ3,NO3-N,NA
1994-08-30,BQ3,K,0.8577777777777778
1994-08-30,BQ3,Ca,4.845555555555555
1994-08-30,BQ3,Mg,3.3277777777777775
1994-11-01,BQ3,NH4-N,NA
1994-11-01,BQ3,NO3-N,NA
1994-11-01,BQ3,K,0.8477777777777777
1994-11-01,BQ3,Ca,4.412222222222222
1994-11-01,BQ3,Mg,3.082222222222222
1986-05-20,PRM,NH4-N,NA
1986-05-20,PRM,NO3-N,NA
1986-05-20,PRM,K,NA
1986-05-20,PRM,Ca,NA
1986-05-20,PRM,Mg,NA
1986-07-22,PRM,NH4-N,NA
1986-07-22,PRM,NO3-N,NA
1986-07-22,PRM,K,NA
1986-07-22,PRM,Ca,NA
1986-07-22,PRM,Mg,NA
1986-09-23,PRM,NH4-N,NA
1986-09-23,PRM,NO3-N,NA
1986-09-23,PRM,K,NA
1986-09-23,PRM,Ca,NA
1986-09-23,PRM,Mg,NA
1986-11-25,PRM,NH4-N,NA
1986-11-25,PRM,NO3-N,NA
1986-11-25,PRM,K,NA
1986-11-25,PRM,Ca,NA
1986-11-25,PRM,Mg,NA
1987-01-27,PRM,NH4-N,NA
1987-01-27,PRM,NO3-N,NA
1987-01-27,PRM,K,NA
1987-01-27,PRM,Ca,NA
1987-01-27,PRM,Mg,NA
1987-03-31,PRM,NH4-N,NA
1987-03-31,PRM,NO3-N,NA
1987-03-31,PRM,K,NA
1987-03-31,PRM,Ca,NA
1987-03-31,PRM,Mg,NA
1987-06-02,PRM,NH4-N,NA
1987-06-02,PRM,NO3-N,NA
1987-06-02,PRM,K,NA
1987-06-02,PRM,Ca,NA
1987-06-02,PRM,Mg,NA
1987-08-04,PRM,NH4-N,NA
1987-08-04,PRM,NO3-N,NA
1987-08-04,PRM,K,NA
1987-08-04,PRM,Ca,NA
1987-08-04,PRM,Mg,NA
1987-10-06,PRM,NH4-N,NA
1987-10-06,PRM,NO3-N,NA
1987-10-06,PRM,K,NA
1987-10-06,PRM,Ca,NA
1987-10-06,PRM,Mg,NA
1987-12-08,PRM,NH4-N,NA
1987-12-08,PRM,NO3-N,NA
1987-12-08,PRM,K,NA
1987-12-08,PRM,Ca,NA
1987-12-08,PRM,Mg,NA
1988-02-09,PRM,NH4-N,NA
1988-02-09,PRM,NO3-N,NA
1988-02-09,PRM,K,NA
1988-02-09,PRM,Ca,NA
1988-02-09,PRM,Mg,NA
1988-04-12,PRM,NH4-N,NA
1988-04-12,PRM,NO3-N,NA
1988-04-12,PRM,K,NA
1988-04-12,PRM,Ca,NA
1988-04-12,PRM,Mg,NA
1988-06-14,PRM,NH4-N,NA
1988-06-14,PRM,NO3-N,NA
1988-06-14,PRM,K,NA
1988-06-14,PRM,Ca,NA
1988-06-14,PRM,Mg,NA
1988-08-16,PRM,NH4-N,NA
1988-08-16,PRM,NO3-N,NA
1988-08-16,PRM,K,NA
1988-08-16,PRM,Ca,NA
1988-08-16,PRM,Mg,NA
1988-10-18,PRM,NH4-N,NA
1988-10-18,PRM,NO3-N,NA
1988-10-18,PRM,K,NA
1988-10-18,PRM,Ca,NA
1988-10-18,PRM,Mg,NA
1988-12-20,PRM,NH4-N,NA
1988-12-20,PRM,NO3-N,NA
1988-12-20,PRM,K,NA
1988-12-20,PRM,Ca,NA
1988-12-20,PRM,Mg,NA
1989-02-21,PRM,NH4-N,NA
1989-02-21,PRM,NO3-N,NA
1989-02-21,PRM,K,NA
1989-02-21,PRM,Ca,NA
1989-02-21,PRM,Mg,NA
1989-04-25,PRM,NH4-N,NA
1989-04-25,PRM,NO3-N,73.83333333333333
1989-04-25,PRM,K,0.6816666666666666
1989-04-25,PRM,Ca,6.568333333333333
1989-04-25,PRM,Mg,1.9433333333333334
1989-06-27,PRM,NH4-N,NA
1989-06-27,PRM,NO3-N,67.42857142857143
1989-06-27,PRM,K,0.69375
1989-06-27,PRM,Ca,6.6
1989-06-27,PRM,Mg,1.75375
1989-08-29,PRM,NH4-N,NA
1989-08-29,PRM,NO3-N,95.2
1989-08-29,PRM,K,0.87
1989-08-29,PRM,Ca,6.04
1989-08-29,PRM,Mg,2.17
1989-10-31,PRM,NH4-N,NA
1989-10-31,PRM,NO3-N,221.14285714285717
1989-10-31,PRM,K,0.8814285714285715
1989-10-31,PRM,Ca,8.496666666666666
1989-10-31,PRM,Mg,2.5083333333333333
1990-01-02,PRM,NH4-N,NA
1990-01-02,PRM,NO3-N,172
1990-01-02,PRM,K,1.1322222222222222
1990-01-02,PRM,Ca,9.39375
1990-01-02,PRM,Mg,2.22
1990-03-06,PRM,NH4-N,NA
1990-03-06,PRM,NO3-N,180.55555555555554
1990-03-06,PRM,K,1.0322222222222222
1990-03-06,PRM,Ca,8.338888888888889
1990-03-06,PRM,Mg,2.0611111111111113
1990-05-08,PRM,NH4-N,NA
1990-05-08,PRM,NO3-N,175.11111111111111
1990-05-08,PRM,K,0.9777777777777777
1990-05-08,PRM,Ca,8.975555555555555
1990-05-08,PRM,Mg,2.0944444444444446
1990-07-10,PRM,NH4-N,NA
1990-07-10,PRM,NO3-N,152.22222222222223
1990-07-10,PRM,K,0.8744444444444445
1990-07-10,PRM,Ca,9.076666666666666
1990-07-10,PRM,Mg,2.0677777777777777
1990-09-11,PRM,NH4-N,NA
1990-09-11,PRM,NO3-N,107
1990-09-11,PRM,K,0.8011111111111111
1990-09-11,PRM,Ca,8.11
1990-09-11,PRM,Mg,1.96
1990-11-13,PRM,NH4-N,NA
1990-11-13,PRM,NO3-N,152.375
1990-11-13,PRM,K,0.7277777777777777
1990-11-13,PRM,Ca,7.78
1990-11-13,PRM,Mg,1.98
1991-01-15,PRM,NH4-N,NA
1991-01-15,PRM,NO3-N,127.28571428571429
1991-01-15,PRM,K,0.8411111111111111
1991-01-15,PRM,Ca,7.403333333333333
1991-01-15,PRM,Mg,2.148888888888889
1991-03-19,PRM,NH4-N,NA
1991-03-19,PRM,NO3-N,71.5
1991-03-19,PRM,K,0.735
1991-03-19,PRM,Ca,4.887142857142857
1991-03-19,PRM,Mg,1.4075
1991-05-21,PRM,NH4-N,NA
1991-05-21,PRM,NO3-N,63
1991-05-21,PRM,K,0.8200000000000001
1991-05-21,PRM,Ca,5.034
1991-05-21,PRM,Mg,0.9271428571428572
1991-07-23,PRM,NH4-N,NA
1991-07-23,PRM,NO3-N,52.142857142857146
1991-07-23,PRM,K,0.8222222222222223
1991-07-23,PRM,Ca,8.598888888888888
1991-07-23,PRM,Mg,2.681111111111111
1991-09-24,PRM,NH4-N,NA
1991-09-24,PRM,NO3-N,124
1991-09-24,PRM,K,0.72
1991-09-24,PRM,Ca,7.154999999999999
1991-09-24,PRM,Mg,2.09875
1991-11-26,PRM,NH4-N,NA
1991-11-26,PRM,NO3-N,119.44444444444444
1991-11-26,PRM,K,0.71
1991-11-26,PRM,Ca,7.178888888888889
1991-11-26,PRM,Mg,1.8522222222222222
1992-01-28,PRM,NH4-N,NA
1992-01-28,PRM,NO3-N,123.875
1992-01-28,PRM,K,0.9711111111111111
1992-01-28,PRM,Ca,10.386666666666667
1992-01-28,PRM,Mg,2.178888888888889
1992-03-31,PRM,NH4-N,NA
1992-03-31,PRM,NO3-N,63.875
1992-03-31,PRM,K,0.8444444444444444
1992-03-31,PRM,Ca,7.913749999999999
1992-03-31,PRM,Mg,2.7222222222222223
1992-06-02,PRM,NH4-N,NA
1992-06-02,PRM,NO3-N,38.111111111111114
1992-06-02,PRM,K,0.7966666666666666
1992-06-02,PRM,Ca,7.605555555555556
1992-06-02,PRM,Mg,1.961111111111111
1992-08-04,PRM,NH4-N,NA
1992-08-04,PRM,NO3-N,45.22222222222222
1992-08-04,PRM,K,0.8288888888888889
1992-08-04,PRM,Ca,8.617777777777778
1992-08-04,PRM,Mg,2.1733333333333333
1992-10-06,PRM,NH4-N,NA
1992-10-06,PRM,NO3-N,49.625
1992-10-06,PRM,K,0.7622222222222222
1992-10-06,PRM,Ca,8.262222222222222
1992-10-06,PRM,Mg,2.013333333333333
1992-12-08,PRM,NH4-N,NA
1992-12-08,PRM,NO3-N,16.5
1992-12-08,PRM,K,0.67125
1992-12-08,PRM,Ca,7.6274999999999995
1992-12-08,PRM,Mg,1.89375
1993-02-09,PRM,NH4-N,NA
1993-02-09,PRM,NO3-N,91.66666666666667
1993-02-09,PRM,K,0.7611111111111111
1993-02-09,PRM,Ca,8.618888888888888
1993-02-09,PRM,Mg,2.1966666666666668
1993-04-13,PRM,NH4-N,NA
1993-04-13,PRM,NO3-N,52.125
1993-04-13,PRM,K,0.84
1993-04-13,PRM,Ca,7.963333333333333
1993-04-13,PRM,Mg,2.013333333333333
1993-06-15,PRM,NH4-N,NA
1993-06-15,PRM,NO3-N,57
1993-06-15,PRM,K,0.76625
1993-06-15,PRM,Ca,8.865
1993-06-15,PRM,Mg,2.05375
1993-08-17,PRM,NH4-N,NA
1993-08-17,PRM,NO3-N,50.25
1993-08-17,PRM,K,0.8
1993-08-17,PRM,Ca,8.374444444444444
1993-08-17,PRM,Mg,2.068888888888889
1993-10-19,PRM,NH4-N,NA
1993-10-19,PRM,NO3-N,35.75
1993-10-19,PRM,K,0.72
1993-10-19,PRM,Ca,7.707777777777777
1993-10-19,PRM,Mg,2.0077777777777777
1993-12-21,PRM,NH4-N,NA
1993-12-21,PRM,NO3-N,13
1993-12-21,PRM,K,0.5
1993-12-21,PRM,Ca,6.5525
1993-12-21,PRM,Mg,1.3522222222222222
1994-02-22,PRM,NH4-N,NA
1994-02-22,PRM,NO3-N,7
1994-02-22,PRM,K,0.7233333333333334
1994-02-22,PRM,Ca,9.082222222222223
1994-02-22,PRM,Mg,2.1
1994-04-26,PRM,NH4-N,NA
1994-04-26,PRM,NO3-N,19.11111111111111
1994-04-26,PRM,K,0.86
1994-04-26,PRM,Ca,9.436666666666667
1994-04-26,PRM,Mg,2.3177777777777777
1994-06-28,PRM,NH4-N,NA
1994-06-28,PRM,NO3-N,72
1994-06-28,PRM,K,0.7944444444444444
1994-06-28,PRM,Ca,8.825555555555555
1994-06-28,PRM,Mg,2.3644444444444446
1994-08-30,PRM,NH4-N,NA
1994-08-30,PRM,NO3-N,NA
1994-08-30,PRM,K,0.8522222222222222
1994-08-30,PRM,Ca,9.213333333333333
1994-08-30,PRM,Mg,2.1222222222222222
1994-11-01,PRM,NH4-N,NA
1994-11-01,PRM,NO3-N,43
1994-11-01,PRM,K,0.7133333333333334
1994-11-01,PRM,Ca,7.992222222222222
1994-11-01,PRM,Mg,2.0877777777777777
